code,itemName
1004,rosquinha amarela
1005,broa
1053,pirulito pop cereja
1056,doce de goiaba
1057,CHICLETE COM FIGURINHAS BRINQ
1058,PIRULITO DE CHUPETA MILIONÁRIA
1059,trufa
1060,BALINHA DO CORAÇÃO 
1061,DOCE DE LEITE KICOCADA
1062,rapadura
1054,bombom sortidos
1055,bombom pipper
